region,population,area,living_area,per_capita,real_incomes,formal_wage,real_pay,gdpp,income,subsidies,welfare,mining,manufact,indust,water_supply,provision,reg_prod_total,retail,poverty_percent,ps_child,ps_empl,ps_pens,childrens,child_orphanage,child_adopted,pension,pensioners,pensioners_percent,living_wage,unemployment_rate,newborn,child_mortality_rural,child_mortality_urban,child_mortality,morbidity,respiratory,neoplasms,disabled_18_60,density,spec_income,spec_subsidies,spec_mining,spec_manufact,spec_indust,spec_water_supply,spec_provision,spec_reg_prod,childrens_percent,child_orphanage_percent,newborn_1000,child_mortality_1000,disabled_1000,morbidity_1000
Алтайский край,2317153,167996,18.0,23864,95.5,30072,103.8,291156.9,56637.87973039001,74306.23537032,29.7,9146146100000.0,361880102220000,426221675120000.0,10454410500000.0,44741016300000.0,852443350240000.0,153605,17.5,31.4,59.4,9.2,490149,983,59,16128.19,621984,26.8,10904,5.9,19976,44,53,97,335066,57.302,10.293,61378,13.792905783471035,24442.87439387473,32067.902020419024,3947148.116675938,156174452.96879405,183941964.60915616,4511748.03735446,19308615.48633172,367883929.2183123,21.153070168435146,0.20055126094310097,8.620924039111788,0.04186171564847035,26.488540031668173,144.60244964402438
Амурская область,790044,361908,17.3,35499,100.3,52430,105.2,571362.1,51571.55531892,34011.88554735,21.7,116722688800000.0,39093856500000,202288233500000.0,3471369500000.0,43000318700000.0,404576467000000.0,245233,15.2,38.4,56.9,4.7,178702,676,65,17998.7,176633,22.4,14331,6.0,7853,13,29,42,164545,30.788,3.568,25069,2.182996783712988,65276.81410012606,43050.62192403208,147742010.31841263,49483138.28090587,256046794.22918218,4393893.884391249,54427751.7454724,512093588.45836437,22.619246522978468,0.37828339917852066,9.939952711494549,0.053161596063004087,31.731144088177363,208.27321009969066
Архангельская область без Ненецкого АО,1092424,413103,16.9,34852,98.4,52779,102.9,514200.4,52963.99300956,42447.95287233,21.4,30698169700000.0,259143871780000,332053498020000.0,5852056120000.0,36359400420000.0,664106996040000.0,250033,12.3,28.5,64.3,7.2,226228,785,60,21753.88,288908,26.4,14507,7.4,8906,5,24,29,565545,88.038,16.234,26984,2.644434923009516,48483.000199153445,38856.664511517505,28100966.016857922,237219130.83198464,303960273.68494284,5356945.764648159,33283231.07145211,607920547.3698857,20.708809033854987,0.3469950669236345,8.152512211375804,0.026546469136525745,24.701031833793472,517.697340959188
Астраханская область,1005782,49024,19.2,25199,97.1,38885,104.5,526950.9,28260.82278389,24050.16497786,31.4,249844173900000.0,76028083900000,362298877900000.0,6497362300000.0,29929257800000.0,724597755800000.0,174527,15.6,42.1,52.4,5.5,227512,376,66,15427.85,240483,23.9,11287,7.8,10911,13,51,64,213163,49.989,5.059,19534,20.51611455613577,28098.358077485973,23911.906335428554,248407879.54049686,75591016.64177725,360216108.36145407,6460010.519178112,29757201.66000187,720432216.7229081,22.620408796339564,0.16526600794683358,10.848275272375126,0.06363207931738686,19.42170370915367,211.93757693018964
Белгородская область,1549151,27134,17.8,32841,98.1,37442,104.8,646569.0,58073.27733588,35521.90644179,16.1,189803813700000.0,746380688410000,974146909310000.0,11175025300000.0,26787381900000.0,1948293818620000.0,237076,7.2,0.0,0.0,0.0,290694,219,82,17438.93,421103,27.2,10403,4.9,12352,22,25,47,284261,60.234,7.618,60716,57.09261443207784,37487.163830949976,22929.91867273752,122521183.34494184,481799829.97783947,628826311.515146,7213644.957786555,17291653.234578166,1257652623.030292,18.764729842345904,0.07533695225907655,7.973399623406627,0.03033919869657638,39.19308059704961,183.49470129122338
Брянская область,1192491,34857,24.1,28596,96.3,31946,102.9,347204.5,28282.35153485,46485.74974515,23.1,310665900000.0,255686208300000,283462240100000.0,9588966400000.0,17876399500000.0,566924480200000.0,225643,13.6,44.8,51.6,3.7,226200,343,74,16976.79,327540,27.5,11760,4.0,9480,12,29,41,159914,29.048,8.761,38220,34.21094758585076,23717.03562949322,38982.05499676728,260518.4441643585,214413532.93232402,237705978.5776161,8041122.658368072,14990804.542759651,475411957.1552322,18.96869661909398,0.15163572060123784,7.949745532670686,0.034381810848048325,32.05055635640017,134.10080243792197
Владимирская область,1358416,29084,16.1,25922,98.0,35240,103.0,410443.6,40849.66412326,27304.64363845,26.0,4965110500000.0,526153656110000,581325997970000.0,12942570390000.0,37264660970000.0,1162651995940000.0,177680,12.5,0.0,0.0,0.0,251098,407,74,17270.99,390975,28.8,11800,5.6,10120,10,51,61,132256,32.444,1.682,38862,46.70664282767157,30071.542239829334,20100.354853336536,3655073.629874795,387328812.4624563,427944015.6549982,9527692.834890049,27432436.727777056,855888031.3099964,18.484617377887187,0.1620881090251615,7.449853358617684,0.044905242576648095,28.608320278913087,97.36045511831428
Волгоградская область,2491036,112877,17.9,24864,98.7,35962,104.2,394256.5,67718.5137466,54196.27532688,25.1,34272695000000.0,775584323200000,904268455110000.0,21630796200000.0,72780640710000.0,1808536910220000.0,167446,11.9,46.2,49.8,4.0,476278,277,90,16523.12,671727,27.0,10604,7.6,19663,31,66,97,486921,86.516,13.011,64752,22.068587931996774,27184.87960294432,21756.52030997545,13758410.155453393,311350106.22086555,363008987.06803113,8683453.872204175,29217016.819508027,726017974.1360623,19.11967550850329,0.05815931031876342,7.893502944156567,0.03893962190831445,25.99400410110492,195.46927463111732
Вологодская область,1160445,144527,16.9,29522,99.6,42775,105.4,544379.2,52107.29377989,36300.93052705999,25.9,612397600000.0,728137683510000,777435178750000.0,8572731600000.0,40112366040000.0,1554870357500000.0,182920,12.8,43.1,54.6,2.3,249606,501,71,18249.48,301937,26.0,12438,6.1,10698,23,36,59,276284,48.522,6.235,29819,8.02926096853875,44902.855180460945,31281.905240713684,527726.518706186,627464191.3317736,669945735.2567334,7387451.882682936,34566365.5235707,1339891470.5134668,21.50950712873079,0.20071632893440058,9.218877241058387,0.05084256470578097,25.696176897655644,238.08452791816933
Воронежская область,2324205,52216,19.9,32078,95.4,36317,103.2,459629.5,76768.76773021999,49457.46821846,21.6,9230600500000.0,552645129400000,718266745400000.0,18592053800000.0,137798961700000.0,1436533490800000.0,252416,8.5,28.5,69.2,2.3,410064,205,86,16382.35,657683,28.3,9834,4.3,19161,12,58,70,375095,71.983,7.752,76228,44.51135667228436,33030.1189999247,21279.305490892584,3971508.7524551405,237778134.63098136,309037604.4281808,7999317.530080178,59288643.51466415,618075208.8563616,17.64319412444255,0.0499921963400835,8.244109276075044,0.030117825234865257,32.79745117147584,161.38636652102548
